년도,온라인,옥외,,,,,,,,,,
2018,"5,717,205","3,447,417",,,,,,,,,,
2019,"6,521,929","?3,514,241",,,,,,,,,,
2020,"7,528,378","?3,076,530",,,,,,,,,,
2021,"8,003,643","?3,566,595",,,,,,,,,,
2022,"8,706,170","?4,022,623",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
