지역,년도,옥외광고물_개수,,,,,,,,,,,,,,,,,,,
경남,2016,"126,352",,,,,,,,,,,,,,,,,,,
경남,2017,"37,535",,,,,,,,,,,,,,,,,,,
경남,2018,"37,965",,,,,,,,,,,,,,,,,,,
경남,2019,"42,387",,,,,,,,,,,,,,,,,,,
경남,2020,"30,839",,,,,,,,,,,,,,,,,,,
경남,2021,"29,819",,,,,,,,,,,,,,,,,,,
경남,2022,"30,171",,,,,,,,,,,,,,,,,,,
제주,2016,"76,141",,,,,,,,,,,,,,,,,,,
제주,2017,"33,751",,,,,,,,,,,,,,,,,,,
제주,2018,"33,582",,,,,,,,,,,,,,,,,,,
제주,2019,"41,650",,,,,,,,,,,,,,,,,,,
제주,2020,"32,213",,,,,,,,,,,,,,,,,,,
제주,2021,"30,142",,,,,,,,,,,,,,,,,,,
제주,2022,"30,184",,,,,,,,,,,,,,,,,,,
